 ,[AND],[ASSIGN],[BinaryAnd],[BinaryOr],[BinaryXor],[COMMA],[DIV],[ELSE],[EQ],[GE],[GT],[ID],[IF],[INT],[LBBRACKET],[LE],[LPAREN],[LT],[LeftSquareBracket],[MUL],[NOT],[NQ],[NUM],[OR],[PLUS],[RBBRACKET],[RETURN],[RPAREN],[RightSquareBracket],[SEMI],[SUB],[VOID],[WHILE],[#],||,<ANDExp>,<Args>,<Array>,<ArrayDeclare>,<AssignStmt>,<Block>,<CallFun>,<CallStmt>,<CreateFunTable_m>,<DeclareString-option>,<DeclareString>,<Def>,<DefList>,<Exp>,<Exp_stmt>,<Factor>,<FunDec>,<FunctionDeclare>,<IfNext>,<IfStmt>,<IfStmt_m>,<IfStmt_next>,<Item>,<NOTExp>,<OPERAT1>,<OPERAT2>,<OPNUM>,<ParameterContent>,<Pro_m>,<Program>,<Relop>,<ReturnStmt>,<Stmt>,<StmtList>,<SubExp>,<VarContent>,<VarList>,<WhileStmt>,<WhileStmt_m1>,<WhileStmt_m2>,
0, , , , , , , , , , , , , ,r2, , , , , , , , , , , , , , , , , ,r2, , ,||, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,2, , , , , , , , , , ,
1, , , , , , , , , , , , , ,s6, , , , , , , , , , , , , , , , , ,s7, , ,||, , , , , , , , , ,3,4, , , , , , ,5, , , , , , , , , , , , , , , , , , , , , , ,
2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,acc,||, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
3, , , , , , , , , , , , , ,s6, , , , , , , , , , , , , , , , , ,s7, ,r3,||, , , , , , , , , ,3,8, , , , , , ,5, , , , , , , , , , , , , , , , , , , , , , ,
4, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,r1,||, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
5, , , , , , , , , , , ,s10, , , , , , , , , , , , , , , , , , , , , , ,||, , , , , , , , , , , , , , , , ,9, , , , , , , , , , , , , , , , , , , , , , , ,
6, , , , , , , , , , , ,r12, , , , , , , , , , , , , , , , , , , , , , ,||, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
7, , , , , , , , , , , ,r11, , , , , , , , , , , , , , , , , , , , , , ,||, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
8, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,r4,||, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
9, , , , , , , , , , , , , , ,s13, , , , , , , , , , , , , , , , , , , ,||, , , , , ,12, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
10, , , , , , , , , , , , , , , , ,r14, , , , , , , , , , , , , , , , , ,||, , , , , , , , ,14, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
11, , , , , , , , , , , , , , , , , , ,s17, , , , , , , , , , ,r8, , , , ,||, , , ,15, , , , , , , , , , , , , , , , , , , , , , , ,16, , , , , , , , , , , , ,
12, , , , , , , , , , , , , ,r6, , , , , , , , , , , , , , , , , ,r6, ,r6,||, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
13, , , , , , , , , , , ,r22,r22,s20, , , , , , , , , , , , ,r22, , , , , ,r22, ,||, , , , , , , , , , , ,18,19, , , , , , , , , , , , , , , , , , , , , , , , , , , ,
